#TIME	REQUESTED	slurm_script-23628	sps-23631	taskprolog.sh-23632	R-23645	R-23650	R-23651
131	0	1532	1580	0	132988	156204	157476
132	0	1532	1580	0	132988	158596	141092
133	0	1532	1580	0	132988	141092	159980
134	0	1532	1580	0	132988	161180	128312
135	0	1532	1580	0	132988	161172	162512
136	0	1532	1580	0	132988	157360	163816
137	0	1532	1580	0	132988	157512	157512
138	0	1532	1580	0	132988	128312	152384
139	0	1532	1580	0	132988	136492	160096
140	0	1532	1580	0	132988	158708	160096
141	0	1532	1580	0	132988	155000	156168
142	0	1532	1580	0	132988	157500	162528
143	0	1532	1580	0	132988	162472	158804
144	0	1532	1580	0	132988	154816	162560
145	0	1532	1580	0	132988	160016	157364
146	0	1532	1580	0	132988	162676	135980
147	0	1532	1580	0	132988	154860	157456
148	0	1532	1580	0	132988	162612	158728
149	0	1532	1580	0	132988	157456	154944
150	0	1532	1580	0	132988	158596	162616
151	0	1532	1580	0	132988	162556	141092
152	0	1532	1580	0	132988	154836	159984
153	0	1532	1580	0	132988	128312	160104
154	0	1532	1580	0	132988	161240	157476
155	0	1532	1580	0	132988	157572	160024
156	0	1532	1580	0	132988	147312	156236
157	0	1532	1580	0	132988	161364	160124
158	0	1532	1580	0	132988	156092	154760
159	0	1532	1752	0	132988	161264	158672
160	0	1532	1752	0	132988	156088	158624
161	0	1532	1752	0	132988	156292	158824
162	0	1532	1752	0	132988	161212	159984
163	0	1532	1752	0	132988	158756	128312
164	0	1532	1752	0	132988	161368	143648
165	0	1532	1752	0	132988	158720	154904
166	0	1532	1752	0	132988	157524	161356
167	0	1532	1752	0	132988	161220	156224
168	0	1532	1752	0	132988	158612	142368
169	0	1532	1752	0	132988	158844	157504
170	0	1532	1752	0	132988	139812	157568
171	0	1532	1752	0	132988	156124	158852
172	0	1532	1752	0	132988	143420	161408
173	0	1532	1752	0	132988	159984	149300
174	0	1532	1752	0	132988	128312	158752
175	0	1532	1752	0	132988	157372	148756
176	0	1532	1752	0	132988	157348	162688
177	0	1532	1752	0	132988	162636	161344
178	0	1532	1752	0	132988	159920	158844
179	0	1532	1752	0	132988	158728	154868
180	0	1532	1752	0	132988	161172	158772
181	0	1532	1752	0	132988	154968	159984
182	0	1532	1752	0	132988	160048	161336
183	0	1532	1752	0	132988	160112	161408
184	0	1532	1752	0	132988	161208	134700
185	0	1532	1752	0	132988	157556	162492
186	0	1532	1752	0	132988	162532	158820
187	0	1532	1752	0	132988	163848	158616
188	0	1532	1752	0	132988	161408	152276
189	0	1532	1752	0	132988	157576	156060
190	0	1532	1752	0	132988	158728	155020
191	0	1532	1752	0	132988	157388	156192
192	0	1532	1752	0	132988	154768	159904
193	0	1532	1752	0	132988	157416	158780
194	0	1532	1752	0	132988	154988	160112
195	0	1532	1752	0	132988	157476	157340
196	0	1532	1752	0	132988	156108	128312
197	0	1532	1752	0	132988	158628	156100
198	0	1532	1752	0	132988	158768	154788
199	0	1532	1752	0	132988	157540	159880
200	0	1532	1752	0	132988	158600	161236
201	0	1532	1752	0	132988	142368	162688
202	0	1532	1752	0	132988	159916	158824
203	0	1532	1752	0	132988	157556	156072
204	0	1532	1752	0	132988	162672	161368
205	0	1532	1752	0	132988	156092	162688
206	0	1532	1752	0	132988	159948	156272
