"foi","numOlapA_obs","numOlapA_alt","numOlapA_pval","numOlapAwithin_obs","numOlapAwithin_alt","numOlapAwithin_pval","numOlapB_obs","numOlapB_alt","numOlapB_pval","numOlapBwithin_obs","numOlapBwithin_alt","numOlapBwithin_pval","comOlap_obs","comOlap_alt","comOlap_pval","meandist_obs","meandist_alt","meandist_pval","meanLenOlapB_obs","meanLenOlapB_alt","meanLenOlapB_pval","Anum","Alen","Bnum","Blen"
"ct_hg19_foi_MER82_desc_repSubfamily",1394,"greater",0.0358964103589641,0,"greater",1,2077,"greater",0.500649935006499,2056,"greater",0.436256374362564,758288,"greater",0.0012998700129987,-724476.494133855,"greater",9.99900009999e-05,366.261434761676,"greater",9.99900009999e-05,45004,1800160000,3218,1110333
"ct_hg19_foi_MER85_desc_repSubfamily",577,"greater",0.0220977902209779,0,"greater",1,597,"greater",0.0256974302569743,597,"greater",0.0256974302569743,73573,"greater",0.0172982701729827,-1699194.59779131,"greater",9.99900009999e-05,123.36013400335,"greater",0.232476752324768,45004,1800160000,895,110237
"ct_hg19_foi_MER89_desc_repSubfamily",680,"greater",9.99900009999e-05,0,"greater",1,951,"greater",0.0008999100089991,941,"greater",0.0006999300069993,303096,"greater",9.99900009999e-05,-1767927.40203093,"greater",9.99900009999e-05,320.369085173502,"greater",0.0090990900909909,45004,1800160000,1355,418512
"ct_hg19_foi_MER91A_desc_repSubfamily",1951,"less",0.249275072492751,0,"greater",1,2174,"less",0.0808919108089191,2166,"less",0.0794920507949205,271648,"less",0.334866513348665,-544538.110856813,"greater",9.99900009999e-05,125.10625574977,"greater",0.0012998700129987,45004,1800160000,3551,437736
"ct_hg19_foi_MER91B_desc_repSubfamily",845,"less",0.387461253874613,0,"greater",1,975,"less",0.293470652934707,972,"less",0.288471152884712,99327,"less",0.277872212778722,-1289477.22669096,"greater",0.0454954504549545,101.997948717949,"less",0.432056794320568,45004,1800160000,1566,160091
"ct_hg19_foi_MER91C_desc_repSubfamily",982,"greater",0.4004599540046,0,"greater",1,1021,"greater",0.362063793620638,1020,"greater",0.363463653634637,85974,"greater",0.356864313568643,-1077398.70387077,"greater",9.99900009999e-05,84.2350636630754,"less",0.504049595040496,45004,1800160000,1602,135079
"ct_hg19_foi_MER92B_desc_repSubfamily",394,"greater",9.99900009999e-05,0,"greater",1,563,"greater",0.0048995100489951,553,"greater",0.0050994900509949,180361,"greater",9.99900009999e-05,-3703446.57837081,"greater",9.99900009999e-05,322.191829484902,"greater",0.0012998700129987,45004,1800160000,872,257641
"ct_hg19_foi_MER94_desc_repSubfamily",3068,"greater",9.99900009999e-05,0,"greater",1,3311,"greater",9.99900009999e-05,3296,"greater",9.99900009999e-05,352189,"greater",9.99900009999e-05,-306110.053195272,"greater",9.99900009999e-05,106.589247961341,"greater",0.0060993900609939,45004,1800160000,4735,500974
"ct_hg19_foi_MER96_desc_repSubfamily",737,"greater",0.366463353664634,0,"greater",1,805,"greater",0.21027897210279,804,"greater",0.199080091990801,90750,"greater",0.118888111188881,-1669513.59588037,"less",0.0532946705329467,113.255900621118,"greater",0.188281171882812,45004,1800160000,1265,142111
"ct_hg19_foi_MER96B_desc_repSubfamily",953,"greater",0.371262873712629,0,"greater",1,1245,"less",0.125687431256874,1241,"less",0.127087291270873,198050,"greater",0.492850714928507,-1031437.02701982,"greater",9.99900009999e-05,159.465060240964,"greater",0.0078992100789921,45004,1800160000,2103,324079
"ct_hg19_foi_MER97a_desc_repSubfamily",105,"less",0.465453454654535,0,"greater",1,161,"less",0.185881411858814,159,"less",0.182081791820818,63188,"less",0.311468853114689,-11230514.4736023,"greater",9.99900009999e-05,393.614906832298,"greater",0.177682231776822,45004,1800160000,274,102425
"ct_hg19_foi_MER97b_desc_repSubfamily",59,"greater",0.458054194580542,0,"greater",1,106,"less",0.340865913408659,106,"less",0.340865913408659,39845,"greater",0.212278772122788,-20001290.6519187,"greater",9.99900009999e-05,375.905660377359,"greater",0.0112988701129887,45004,1800160000,177,60543
"ct_hg19_foi_MER97c_desc_repSubfamily",92,"greater",0.43025697430257,0,"greater",1,134,"less",0.164083591640836,132,"less",0.158284171582842,47290,"less",0.374462553744626,-12356465.4738123,"greater",9.99900009999e-05,353.194029850746,"greater",0.0762923707629237,45004,1800160000,217,73673
"ct_hg19_foi_Merlin_desc_repFamily",20,"less",0.467053294670533,0,"greater",1,33,"less",0.28987101289871,33,"less",0.28987101289871,9909,"less",0.195480451954805,-45850920.2245039,"greater",9.99900009999e-05,302.575757575758,"less",0.290670932906709,45004,1800160000,54,16923
"ct_hg19_foi_MIR_desc_repFamily",44079,"greater",9.99900009999e-05,0,"greater",1,371748,"greater",0.0238976102389761,370172,"greater",0.0140985901409859,53828409,"greater",9.99900009999e-05,-725.900319971558,"greater",0.134486551344866,145.074577401896,"greater",9.99900009999e-05,45004,1800160000,589422,84183431
"ct_hg19_foi_MIR_desc_repSubfamily",38107,"greater",9.99900009999e-05,0,"greater",1,111203,"greater",9.99900009999e-05,110699,"greater",9.99900009999e-05,17681340,"greater",9.99900009999e-05,-2953.52653097502,"greater",9.99900009999e-05,159.215704612286,"greater",9.99900009999e-05,45004,1800160000,173801,27256613
"ct_hg19_foi_MIR3_desc_repSubfamily",27343,"greater",9.99900009999e-05,0,"greater",1,54877,"less",9.99900009999e-05,54684,"less",9.99900009999e-05,6293515,"less",0.0002999700029997,-15508.4467158475,"greater",9.99900009999e-05,114.786978151138,"greater",9.99900009999e-05,45004,1800160000,90011,10203118
"ct_hg19_foi_MIRb_desc_repSubfamily",39207,"greater",9.99900009999e-05,0,"greater",1,141526,"greater",0.0002999700029997,140888,"greater",0.0002999700029997,21517794,"greater",9.99900009999e-05,-2942.14876455426,"greater",9.99900009999e-05,152.225103514549,"greater",9.99900009999e-05,45004,1800160000,223186,33581390
"ct_hg19_foi_MLT-int_desc_repSubfamily",160,"greater",0.259274072592741,0,"greater",1,215,"greater",0.489251074892511,213,"greater",0.508849115088491,75001,"greater",0.237476252374763,-6394548.00641055,"greater",9.99900009999e-05,350.972093023256,"greater",0.147885211478852,45004,1800160000,344,117236
"ct_hg19_foi_MLT1A_desc_repSubfamily",4586,"greater",9.99900009999e-05,0,"greater",1,5912,"greater",0.0004999500049995,5859,"greater",0.0004999500049995,1663001,"greater",9.99900009999e-05,-190326.027508666,"greater",9.99900009999e-05,281.820534506089,"greater",9.99900009999e-05,45004,1800160000,8906,2443655
"ct_hg19_foi_MLT1A0_desc_repSubfamily",9986,"greater",9.99900009999e-05,0,"greater",1,13821,"greater",9.99900009999e-05,13723,"greater",9.99900009999e-05,3935971,"greater",9.99900009999e-05,-77997.9287174473,"greater",9.99900009999e-05,285.201215541567,"greater",9.99900009999e-05,45004,1800160000,20274,5657433
"ct_hg19_foi_MLT1A0-int_desc_repSubfamily",382,"greater",9.99900009999e-05,0,"greater",1,630,"greater",0.0126987301269873,622,"greater",0.0114988501149885,377886,"greater",0.0010998900109989,-3344726.23886766,"greater",9.99900009999e-05,600.319047619048,"greater",0.257874212578742,45004,1800160000,917,541046
"ct_hg19_foi_MLT1A1_desc_repSubfamily",3464,"greater",9.99900009999e-05,0,"greater",1,4392,"greater",0.0046995300469953,4353,"greater",0.0046995300469953,1323210,"greater",9.99900009999e-05,-255020.849168963,"greater",9.99900009999e-05,301.767759562842,"greater",9.99900009999e-05,45004,1800160000,6654,1953018
"ct_hg19_foi_MLT1B_desc_repSubfamily",7884,"greater",0.0002999700029997,0,"greater",1,11222,"greater",0.297470252974703,11133,"greater",0.268873112688731,3182462,"greater",9.99900009999e-05,-104452.612812194,"greater",9.99900009999e-05,284.014168597398,"greater",9.99900009999e-05,45004,1800160000,17582,4842060
"ct_hg19_foi_MLT1C_desc_repSubfamily",8187,"less",0.490650934906509,0,"greater",1,11908,"less",9.99900009999e-05,11795,"less",9.99900009999e-05,3810561,"less",0.417858214178582,-105091.18611679,"greater",9.99900009999e-05,320.846237823312,"greater",9.99900009999e-05,45004,1800160000,19424,6003806
"ct_hg19_foi_MLT1D_desc_repSubfamily",8759,"greater",9.99900009999e-05,0,"greater",1,12716,"greater",0.273672632736726,12606,"greater",0.204079592040796,4277235,"greater",9.99900009999e-05,-90597.0675939916,"greater",9.99900009999e-05,337.011167033658,"greater",9.99900009999e-05,45004,1800160000,20207,6522887
"ct_hg19_foi_MLT1E_desc_repSubfamily",436,"greater",0.0058994100589941,0,"greater",1,619,"greater",0.0128987101289871,612,"greater",0.0104989501049895,187268,"greater",0.0050994900509949,-2358020.85203537,"greater",9.99900009999e-05,303.214862681745,"greater",0.361263873612639,45004,1800160000,897,267552
"ct_hg19_foi_MLT1E1_desc_repSubfamily",517,"greater",0.0010998900109989,0,"greater",1,722,"greater",0.0010998900109989,714,"greater",0.0008999100089991,218636,"greater",0.0010998900109989,-1997215.77664208,"greater",9.99900009999e-05,303.541551246537,"less",0.285071492850715,45004,1800160000,1040,315326
"ct_hg19_foi_MLT1E1A_desc_repSubfamily",1634,"greater",9.99900009999e-05,0,"greater",1,2343,"greater",9.99900009999e-05,2329,"greater",9.99900009999e-05,785309,"greater",9.99900009999e-05,-607759.848324593,"greater",9.99900009999e-05,335.641912078532,"greater",0.164883511648835,45004,1800160000,3325,1102348
