"foi","numOlapA_obs","numOlapA_alt","numOlapA_pval","numOlapAwithin_obs","numOlapAwithin_alt","numOlapAwithin_pval","numOlapB_obs","numOlapB_alt","numOlapB_pval","numOlapBwithin_obs","numOlapBwithin_alt","numOlapBwithin_pval","comOlap_obs","comOlap_alt","comOlap_pval","meandist_obs","meandist_alt","meandist_pval","meanLenOlapB_obs","meanLenOlapB_alt","meanLenOlapB_pval"
"ct_hg19_foi_huCNE_rheMac3_99.3pc_150col_desc_noncoding.bed",9840,"greater",9.99900009999e-05,0,"greater",1,32665,"greater",9.99900009999e-05,32384,"greater",9.99900009999e-05,6922498,"greater",9.99900009999e-05,-11775.6614299946,"greater",9.99900009999e-05,213.322485841114,"greater",9.99900009999e-05
"ct_hg19_foi_Inverted_Repeat_desc_nonBDNA",13049,"greater",0.937906209379062,0,"greater",1,1201239,"greater",9.99900009999e-05,1200224,"greater",9.99900009999e-05,24952827,"greater",9.99900009999e-05,0,"greater",0.937906209379062,22.2671591581692,"less",9.99900009999e-05
"ct_hg19_foi_Mirror_Repeat_desc_nonBDNA",13049,"greater",0.0180981901809819,0,"greater",1,323867,"less",9.99900009999e-05,323230,"less",9.99900009999e-05,13657375,"less",9.99900009999e-05,0,"greater",0.0180981901809819,50.5440381391127,"greater",9.99900009999e-05
"ct_hg19_foi_repeat_desc_repeat",13049,"greater",0.674132586741326,0,"less",0.257874212578742,887301,"less",9.99900009999e-05,877754,"less",9.99900009999e-05,250578003,"less",9.99900009999e-05,0,"greater",0.674132586741326,287.249095853605,"greater",9.99900009999e-05
"ct_hg19_foi_Short_Tandem_Repeat_desc_nonBDNA",13048,"greater",0.0754924507549245,0,"greater",1,497108,"less",9.99900009999e-05,496827,"less",9.99900009999e-05,7443635,"less",9.99900009999e-05,-0.287838148517128,"greater",0.0528947105289471,15.1393821865671,"less",9.99900009999e-05
"ct_hg19_foi_Slipped_Motif_desc_nonBDNA",12963,"less",0.0015998400159984,0,"greater",1,90695,"less",9.99900009999e-05,90586,"less",9.99900009999e-05,2902767,"less",9.99900009999e-05,-76.8198329373898,"less",0.0114988501149885,33.1810573901538,"less",9.99900009999e-05
"ct_hg19_foi_TOP2B_desc_TF_MCF7",566,"greater",0.180981901809819,0,"greater",1,585,"greater",0.217878212178782,578,"greater",0.143785621437856,281798,"greater",0.183981601839816,-741215.863284543,"less",0.0006999300069993,484.425641025641,"greater",0.463853614638536
"ct_hg19_foi_Triplex_Motif_desc_nonBDNA",12359,"less",9.99900009999e-05,0,"greater",1,55442,"less",9.99900009999e-05,55381,"less",9.99900009999e-05,1350259,"less",9.99900009999e-05,-626.703195647176,"less",9.99900009999e-05,27.9685437033296,"greater",9.99900009999e-05
"ct_hg19_foi_Z_DNA_Motif_desc_nonBDNA",12811,"greater",0.0924907509249075,0,"greater",1,69231,"less",9.99900009999e-05,69194,"less",9.99900009999e-05,1166721,"less",9.99900009999e-05,-127.311211587095,"less",0.442855714428557,16.8564515896058,"greater",9.99900009999e-05
"ct_Hi_foi_A_desc_compartment",2925,"less",9.99900009999e-05,2925,"less",9.99900009999e-05,232,"less",9.99900009999e-05,0,"greater",1,1.17e+08,"less",9.99900009999e-05,-3675162.8477278,"less",9.99900009999e-05,4615459.26724138,"greater",9.99900009999e-05
"ct_Hi_foi_B_desc_compartment",10121,"greater",9.99900009999e-05,10121,"greater",9.99900009999e-05,249,"less",9.99900009999e-05,0,"greater",1,404840000,"greater",9.99900009999e-05,-707251.130354816,"greater",9.99900009999e-05,6515797.38554217,"greater",9.99900009999e-05
"ct_LC_foi_A_desc_compartment",3212,"less",9.99900009999e-05,3212,"less",9.99900009999e-05,287,"less",9.99900009999e-05,0,"greater",1,128480000,"less",9.99900009999e-05,-2017156.87025826,"less",9.99900009999e-05,4125842.14285714,"greater",9.99900009999e-05
"ct_LC_foi_A1_desc_scompRaob37",284,"less",9.99900009999e-05,260,"less",9.99900009999e-05,159,"less",9.99900009999e-05,0,"greater",1,10880000,"less",9.99900009999e-05,-13125408.8631985,"less",9.99900009999e-05,1168553.4591195,"greater",9.99900009999e-05
"ct_LC_foi_A1_desc_subcompPred_GM12878",362,"less",9.99900009999e-05,324,"less",9.99900009999e-05,210,"less",9.99900009999e-05,0,"greater",1,13720000,"less",9.99900009999e-05,-9387170.71290944,"less",9.99900009999e-05,965238.095238095,"greater",9.99900009999e-05
"ct_LC_foi_A2_desc_scompRaob37",2263,"less",9.99900009999e-05,2041,"less",9.99900009999e-05,718,"less",9.99900009999e-05,0,"greater",1,86080000,"less",9.99900009999e-05,-1062023.66127024,"greater",9.99900009999e-05,615459.610027855,"greater",9.99900009999e-05
"ct_LC_foi_A2_desc_subcompPred_GM12878",1998,"less",9.99900009999e-05,1770,"less",9.99900009999e-05,731,"less",9.99900009999e-05,0,"greater",1,75360000,"less",9.99900009999e-05,-1299686.46227508,"greater",9.99900009999e-05,507523.939808482,"greater",9.99900009999e-05
"ct_LC_foi_ARID3A_desc_TF",1744,"less",9.99900009999e-05,0,"greater",1,2957,"less",9.99900009999e-05,2915,"less",9.99900009999e-05,977783,"less",9.99900009999e-05,-305972.562955016,"less",9.99900009999e-05,343.977003719986,"greater",0.141985801419858
"ct_LC_foi_ARNT_desc_TF",1612,"less",9.99900009999e-05,0,"greater",1,2768,"less",9.99900009999e-05,2722,"less",9.99900009999e-05,1154195,"less",9.99900009999e-05,-303214.072036171,"less",9.99900009999e-05,451.836343930636,"less",0.373062693730627
"ct_LC_foi_ASH2L_desc_TF",570,"less",9.99900009999e-05,0,"greater",1,847,"less",9.99900009999e-05,828,"less",9.99900009999e-05,415653,"less",9.99900009999e-05,-773468.161698214,"less",9.99900009999e-05,578.85360094451,"less",0.0936906309369063
"ct_LC_foi_ATF2_desc_TF",2154,"less",9.99900009999e-05,0,"greater",1,4249,"less",9.99900009999e-05,4179,"less",9.99900009999e-05,1775258,"less",9.99900009999e-05,-294173.222699057,"less",9.99900009999e-05,454.28077194634,"less",0.0654934506549345
"ct_LC_foi_ATF7_desc_TF",3124,"less",9.99900009999e-05,0,"greater",1,6088,"less",9.99900009999e-05,5981,"less",9.99900009999e-05,2408932,"less",9.99900009999e-05,-125374.094643268,"less",9.99900009999e-05,438.875821287779,"less",0.0231976802319768
"ct_LC_foi_B_desc_compartment",9829,"greater",9.99900009999e-05,9829,"greater",9.99900009999e-05,311,"less",9.99900009999e-05,0,"greater",1,393160000,"greater",9.99900009999e-05,-426123.074565101,"greater",9.99900009999e-05,4813504.82315113,"greater",9.99900009999e-05
"ct_LC_foi_B1_desc_scompRaob37",927,"less",9.99900009999e-05,832,"less",9.99900009999e-05,383,"less",9.99900009999e-05,0,"greater",1,35180000,"less",9.99900009999e-05,-6961760.30828516,"less",9.99900009999e-05,541253.263707572,"greater",9.99900009999e-05
"ct_LC_foi_B1_desc_subcompPred_GM12878",926,"less",9.99900009999e-05,794,"less",9.99900009999e-05,431,"less",9.99900009999e-05,0,"greater",1,34400000,"less",9.99900009999e-05,-10528214.2581888,"less",9.99900009999e-05,418402.30162413,"greater",9.99900009999e-05
"ct_LC_foi_B2_desc_scompRaob37",3026,"greater",9.99900009999e-05,2903,"greater",9.99900009999e-05,353,"less",9.99900009999e-05,0,"greater",1,118580000,"greater",9.99900009999e-05,-15731967.6300578,"greater",0.0024997500249975,1108498.58356941,"greater",9.99900009999e-05
"ct_LC_foi_B2_desc_subcompPred_GM12878",3033,"greater",9.99900009999e-05,2816,"greater",9.99900009999e-05,539,"less",9.99900009999e-05,0,"greater",1,116980000,"greater",9.99900009999e-05,-13258899.4219653,"less",0.171682831716828,721150.278293135,"greater",0.284171582841716
"ct_LC_foi_B3_desc_scompRaob37",6687,"greater",9.99900009999e-05,6495,"greater",9.99900009999e-05,552,"less",0.0027997200279972,0,"greater",1,263640000,"greater",9.99900009999e-05,-4550476.90511923,"greater",9.99900009999e-05,1491666.66666667,"greater",0.0318968103189681
"ct_LC_foi_B3_desc_subcompPred_GM12878",7115,"greater",9.99900009999e-05,6810,"greater",9.99900009999e-05,809,"less",9.99900009999e-05,0,"greater",1,278500000,"greater",9.99900009999e-05,-1440324.95101241,"greater",9.99900009999e-05,1070210.13597033,"greater",9.99900009999e-05
"ct_LC_foi_B4_desc_scompRaob37",31,"greater",0.0045995400459954,31,"greater",0.0003999600039996,8,"less",0.0867913208679132,0,"greater",1,1240000,"greater",0.000999900009999,-563960.396039604,"greater",9.99900009999e-05,850000,"greater",0.126087391260874
"ct_LC_foi_BACH1_desc_TF",1472,"less",9.99900009999e-05,0,"greater",1,2405,"less",9.99900009999e-05,2365,"less",9.99900009999e-05,774765,"less",9.99900009999e-05,-337631.007126983,"less",9.99900009999e-05,336.071101871102,"less",0.499050094990501
"ct_LC_foi_BATF_desc_TF",3042,"less",9.99900009999e-05,0,"greater",1,5058,"less",9.99900009999e-05,5013,"less",9.99900009999e-05,1055206,"less",9.99900009999e-05,-137941.124990421,"less",9.99900009999e-05,209.444839857651,"less",0.385261473852615
"ct_LC_foi_BCL11A_desc_TF",1741,"less",9.99900009999e-05,0,"greater",1,2644,"less",9.99900009999e-05,2621,"less",9.99900009999e-05,658473,"less",9.99900009999e-05,-287229.422867653,"less",9.99900009999e-05,250.10741301059,"less",0.0015998400159984
"ct_LC_foi_BCL3_desc_TF",1483,"less",9.99900009999e-05,0,"greater",1,2376,"less",9.99900009999e-05,2347,"less",9.99900009999e-05,774051,"less",9.99900009999e-05,-429439.331136486,"less",9.99900009999e-05,335.613215488215,"greater",0.435356464353565
"ct_LC_foi_BCLAF1_desc_TF",1542,"less",9.99900009999e-05,0,"greater",1,2710,"less",9.99900009999e-05,2663,"less",9.99900009999e-05,1062318,"less",9.99900009999e-05,-470287.498658901,"less",9.99900009999e-05,417.851291512915,"greater",0.0414958504149585
"ct_LC_foi_BHLHE40_desc_TF",3024,"less",9.99900009999e-05,0,"greater",1,5514,"less",9.99900009999e-05,5451,"less",9.99900009999e-05,1830436,"less",9.99900009999e-05,-135951.821288988,"less",9.99900009999e-05,345.221980413493,"less",0.0015998400159984
"ct_LC_foi_BMI1_desc_TF",1416,"less",9.99900009999e-05,0,"greater",1,2111,"less",9.99900009999e-05,2076,"less",9.99900009999e-05,832430,"less",9.99900009999e-05,-309817.084680818,"less",9.99900009999e-05,418.870203694931,"greater",0.000999900009999
"ct_LC_foi_BRCA1_desc_TF",143,"less",9.99900009999e-05,0,"greater",1,152,"less",9.99900009999e-05,148,"less",9.99900009999e-05,41638,"less",9.99900009999e-05,-2057496.6818147,"less",9.99900009999e-05,276.973684210526,"greater",0.229277072292771
"ct_LC_foi_CBFB_desc_TF",1417,"less",9.99900009999e-05,0,"greater",1,2436,"less",9.99900009999e-05,2392,"less",9.99900009999e-05,1003557,"less",9.99900009999e-05,-459037.022300559,"less",9.99900009999e-05,454.083743842365,"less",0.421057894210579
"ct_LC_foi_CBX3_desc_TF",33,"less",0.0120987901209879,0,"greater",1,48,"less",0.0108989101089891,48,"less",0.0108989101089891,25757,"less",0.0102989701029897,-8840621.2433903,"less",9.99900009999e-05,610,"greater",1
"ct_LC_foi_CBX5_desc_TF",1247,"less",9.99900009999e-05,0,"greater",1,1849,"less",9.99900009999e-05,1812,"less",9.99900009999e-05,780105,"less",9.99900009999e-05,-366027.023066902,"less",9.99900009999e-05,454.039480800433,"greater",0.003999600039996
"ct_LC_foi_CEBPB_desc_TF",606,"less",9.99900009999e-05,0,"greater",1,783,"less",9.99900009999e-05,764,"less",9.99900009999e-05,379186,"less",9.99900009999e-05,-834658.834546709,"less",9.99900009999e-05,498.250319284802,"greater",0.186081391860814
"ct_LC_foi_CEBPZ_desc_TF",113,"less",9.99900009999e-05,0,"greater",1,126,"less",9.99900009999e-05,126,"less",9.99900009999e-05,42914,"less",9.99900009999e-05,-2876327.43405625,"less",9.99900009999e-05,351.460317460317,"greater",0.349365063493651
"ct_LC_foi_CHD1_desc_TF",484,"less",9.99900009999e-05,0,"greater",1,742,"less",9.99900009999e-05,730,"less",9.99900009999e-05,309089,"less",9.99900009999e-05,-944188.202927427,"less",9.99900009999e-05,432.819407008086,"greater",0.0201979802019798
"ct_LC_foi_CHD2_desc_TF",1136,"less",9.99900009999e-05,0,"greater",1,1598,"less",9.99900009999e-05,1568,"less",9.99900009999e-05,589249,"less",9.99900009999e-05,-458058.810023757,"less",9.99900009999e-05,374.853566958698,"greater",0.171982801719828
"ct_LC_foi_CHD4_desc_TF",58,"less",9.99900009999e-05,0,"greater",1,78,"less",9.99900009999e-05,76,"less",9.99900009999e-05,39323,"less",9.99900009999e-05,-3545900.95279332,"less",9.99900009999e-05,560,"greater",0.7003299670033
"ct_LC_foi_CREM_desc_TF",2167,"less",9.99900009999e-05,0,"greater",1,4042,"less",9.99900009999e-05,3991,"less",9.99900009999e-05,1284914,"less",9.99900009999e-05,-282480.480803127,"less",9.99900009999e-05,330.319396338446,"greater",0.10958904109589
"ct_LC_foi_CTCF_desc_TF",5459,"less",9.99900009999e-05,0,"greater",1,8184,"less",9.99900009999e-05,8124,"less",9.99900009999e-05,1577108,"less",9.99900009999e-05,-36711.3668480343,"less",0.16998300169983,193.254398826979,"greater",0.0030996900309969
"ct_LC_foi_CUX1_desc_TF",737,"less",9.99900009999e-05,0,"greater",1,1134,"less",9.99900009999e-05,1114,"less",9.99900009999e-05,404019,"less",9.99900009999e-05,-673168.375890873,"less",9.99900009999e-05,375.806878306878,"less",0.327167283271673
"ct_LC_foi_DNase.macs2_na_desc_narrowPeak",7426,"less",9.99900009999e-05,0,"greater",1,32807,"less",9.99900009999e-05,32494,"less",9.99900009999e-05,7886132,"less",9.99900009999e-05,-31453.246072496,"less",9.99900009999e-05,242.89895449142,"less",9.99900009999e-05
"ct_LC_foi_DPF2_desc_TF",2569,"less",9.99900009999e-05,0,"greater",1,5317,"less",9.99900009999e-05,5212,"less",9.99900009999e-05,2328990,"less",9.99900009999e-05,-181369.54180397,"less",9.99900009999e-05,509.905209704721,"less",0.104189581041896
"ct_LC_foi_E2F4_desc_TF",298,"less",9.99900009999e-05,0,"greater",1,330,"less",9.99900009999e-05,326,"less",9.99900009999e-05,102252,"less",9.99900009999e-05,-1234737.81293586,"less",9.99900009999e-05,311.360606060606,"less",0.102989701029897
"ct_LC_foi_E2F8_desc_TF",536,"less",9.99900009999e-05,0,"greater",1,716,"less",9.99900009999e-05,707,"less",9.99900009999e-05,247887,"less",9.99900009999e-05,-860725.948271898,"less",9.99900009999e-05,369.604748603352,"less",0.373262673732627
"ct_LC_foi_E4F1_desc_TF",466,"less",9.99900009999e-05,0,"greater",1,569,"less",9.99900009999e-05,565,"less",9.99900009999e-05,195777,"less",9.99900009999e-05,-1027441.4355123,"less",9.99900009999e-05,359.936731107206,"greater",0.144085591440856
"ct_LC_foi_EBF1_desc_TF",2606,"less",9.99900009999e-05,0,"greater",1,4562,"less",9.99900009999e-05,4518,"less",9.99900009999e-05,1379572,"less",9.99900009999e-05,-151637.225151353,"less",9.99900009999e-05,304.348531345901,"greater",0.353464653534647
"ct_LC_foi_EED_desc_TF",1973,"less",9.99900009999e-05,0,"greater",1,4376,"less",9.99900009999e-05,4315,"less",9.99900009999e-05,1648628,"less",9.99900009999e-05,-358002.365698521,"less",9.99900009999e-05,411.841636197441,"less",0.003999600039996
"ct_LC_foi_EGR1_desc_TF",961,"less",9.99900009999e-05,0,"greater",1,1337,"less",9.99900009999e-05,1322,"less",9.99900009999e-05,291137,"less",9.99900009999e-05,-600068.258717143,"less",9.99900009999e-05,219.006731488407,"greater",0.0006999300069993
"ct_LC_foi_ELF1_desc_TF",2172,"less",9.99900009999e-05,0,"greater",1,3627,"less",9.99900009999e-05,3575,"less",9.99900009999e-05,1364013,"less",9.99900009999e-05,-239486.48685723,"less",9.99900009999e-05,390.508133443617,"greater",0.286871312868713
"ct_LC_foi_ELK1_desc_TF",455,"less",9.99900009999e-05,0,"greater",1,529,"less",9.99900009999e-05,512,"less",9.99900009999e-05,187646,"less",9.99900009999e-05,-965515.291363323,"less",9.99900009999e-05,364,"greater",0.0261973802619738
"ct_LC_foi_EP300_desc_TF",1540,"less",9.99900009999e-05,0,"greater",1,2481,"less",9.99900009999e-05,2447,"less",9.99900009999e-05,907727,"less",9.99900009999e-05,-311742.141390145,"less",9.99900009999e-05,369.831116485288,"greater",0.16958304169583
"ct_LC_foi_ESRRA_desc_TF",374,"less",9.99900009999e-05,0,"greater",1,478,"less",9.99900009999e-05,473,"less",9.99900009999e-05,165498,"less",9.99900009999e-05,-1068674.92604797,"less",9.99900009999e-05,362.78870292887,"greater",0.060993900609939
"ct_LC_foi_ETS1_desc_TF",898,"less",9.99900009999e-05,0,"greater",1,1251,"less",9.99900009999e-05,1236,"less",9.99900009999e-05,319537,"less",9.99900009999e-05,-665759.073798759,"less",9.99900009999e-05,258.327737809752,"greater",0.0003999600039996
