"foi","numOlapA_obs","numOlapA_alt","numOlapA_pval","numOlapAwithin_obs","numOlapAwithin_alt","numOlapAwithin_pval","numOlapB_obs","numOlapB_alt","numOlapB_pval","numOlapBwithin_obs","numOlapBwithin_alt","numOlapBwithin_pval","comOlap_obs","comOlap_alt","comOlap_pval","meandist_obs","meandist_alt","meandist_pval","meanLenOlapB_obs","meanLenOlapB_alt","meanLenOlapB_pval"
"ct_LC_foi_G-quadruplex_greq19_desc_DNA",59136,"less",9.99900009999e-05,0,"greater",1,239815,"less",9.99900009999e-05,239604,"less",9.99900009999e-05,8377092,"less",9.99900009999e-05,-1118.83237266026,"less",0.0012998700129987,34.9399161853929,"less",9.99900009999e-05
"ct_LC_foi_GABPA_desc_TF",5831,"greater",9.99900009999e-05,0,"greater",1,7491,"greater",9.99900009999e-05,7423,"greater",9.99900009999e-05,2658124,"greater",9.99900009999e-05,-387918.754224433,"greater",0.174982501749825,373.611533840609,"greater",0.0675932406759324
"ct_LC_foi_GATAD2B_desc_TF",13236,"less",9.99900009999e-05,0,"greater",1,30104,"less",9.99900009999e-05,29713,"less",9.99900009999e-05,12583313,"less",9.99900009999e-05,-276951.971862391,"less",9.99900009999e-05,484.793814775445,"greater",9.99900009999e-05
"ct_LC_foi_genes_LTr_desc_DNA",38175,"less",9.99900009999e-05,18358,"greater",9.99900009999e-05,21661,"less",9.99900009999e-05,9650,"less",9.99900009999e-05,1151589266,"less",0.0033996600339966,-89329.9274337894,"less",9.99900009999e-05,58003.8868473293,"greater",9.99900009999e-05
"ct_LC_foi_GRB_canFam3_desc_binned_kurtosis_arl_370_0.7_pc_30_kb_windows.bed",17208,"greater",9.99900009999e-05,16258,"greater",9.99900009999e-05,559,"greater",0.998800119988001,0,"greater",1,666580539,"greater",9.99900009999e-05,-1936480.38746473,"greater",9.99900009999e-05,1233060.03398927,"less",0.998800119988001
"ct_LC_foi_GRB_galGal4_desc_binned_kurtosis_arl_370_0.7_pc_30_kb_windows.bed",10302,"greater",9.99900009999e-05,9605,"greater",9.99900009999e-05,421,"less",9.99900009999e-05,0,"greater",1,395980399,"greater",9.99900009999e-05,-2707616.75062949,"greater",9.99900009999e-05,985226.653206651,"greater",9.99900009999e-05
"ct_LC_foi_GRB_gorGor3_desc_binned_kurtosis_arl_370_0.7_pc_30_kb_windows.bed",15513,"greater",9.99900009999e-05,14709,"greater",9.99900009999e-05,483,"greater",0.997900209979002,0,"greater",1,601480464,"greater",9.99900009999e-05,-2614245.59729456,"greater",9.99900009999e-05,1279814.66459627,"less",0.997900209979002
"ct_LC_foi_GRB_lepOcu1_desc_binned_kurtosis_arl_370_0.7_pc_30_kb_windows.bed",7745,"less",0.0063993600639936,7102,"less",0.0120987901209879,395,"less",9.99900009999e-05,0,"greater",1,295040362,"less",0.0072992700729927,-3312180.03250614,"greater",9.99900009999e-05,810532.64556962,"greater",9.99900009999e-05
"ct_LC_foi_GRB_monDom5_desc_binned_kurtosis_arl_370_0.7_pc_30_kb_windows.bed",14331,"greater",9.99900009999e-05,13529,"greater",9.99900009999e-05,484,"less",9.99900009999e-05,0,"greater",1,554840460,"greater",9.99900009999e-05,-2125229.56250948,"greater",9.99900009999e-05,1199381.16528926,"greater",9.99900009999e-05
"ct_LC_foi_GRB_rheMac3_desc_binned_kurtosis_arl_370_0.7_pc_30_kb_windows.bed",16325,"greater",9.99900009999e-05,15448,"greater",9.99900009999e-05,523,"greater",0.999700029997,0,"greater",1,632900495,"greater",9.99900009999e-05,-2431584.42042593,"greater",9.99900009999e-05,1242964.67112811,"less",0.999700029997
