ID	Gene Name	Species
282706	DAOA antisense RNA 1(DAOA-AS1)	Homo sapiens	
100132724	DDB1 and CUL4 associated factor 13 pseudogene 3(DCAF13P3)	Homo sapiens	
100506660	DDX11 antisense RNA 1(DDX11-AS1)	Homo sapiens	
642846	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11-like(LOC642846)	Homo sapiens	
646813	DEAH-box helicase 9 pseudogene(LOC646813)	Homo sapiens	
100874249	DENND5B antisense RNA 1(DENND5B-AS1)	Homo sapiens	
55449	DHRS4 antisense RNA 1(DHRS4-AS1)	Homo sapiens	
100874195	DIAPH3 antisense RNA 1(DIAPH3-AS1)	Homo sapiens	
100874196	DIAPH3 antisense RNA 2(DIAPH3-AS2)	Homo sapiens	
400242	DICER1 antisense RNA 1(DICER1-AS1)	Homo sapiens	
100628307	DIO2 antisense RNA 1(DIO2-AS1)	Homo sapiens	
101929222	DISC1 fusion partner 1 (non-protein coding)(DISC1FP1)	Homo sapiens	
100874074	DLEU7 antisense RNA 1(DLEU7-AS1)	Homo sapiens	
201477	DLGAP1 antisense RNA 3(DLGAP1-AS3)	Homo sapiens	
101410534	DLGAP1 antisense RNA 4(DLGAP1-AS4)	Homo sapiens	
284215	DLGAP1 antisense RNA 5(DLGAP1-AS5)	Homo sapiens	
285987	DLX6 antisense RNA 1(DLX6-AS1)	Homo sapiens	
285224	DNAJB8 antisense RNA 1(DNAJB8-AS1)	Homo sapiens	
729723	DNAJC27 antisense RNA 1(DNAJC27-AS1)	Homo sapiens	
414245	DNAJC9 antisense RNA 1(DNAJC9-AS1)	Homo sapiens	
100628315	DNM3 opposite strand/antisense RNA(DNM3OS)	Homo sapiens	
100188954	DNMBP antisense RNA 1(DNMBP-AS1)	Homo sapiens	
100506413	DOCK4 antisense RNA 1(DOCK4-AS1)	Homo sapiens	
389023	DPP10 antisense RNA 1(DPP10-AS1)	Homo sapiens	
100129460	DPY19L1 pseudogene 1(DPY19L1P1)	Homo sapiens	
100873932	DPYD antisense RNA 1(DPYD-AS1)	Homo sapiens	
