Repeat_Name,Repeat_Age
MamRep1527,Eutheria
MamRep1879,Eutheria
MamRep1894,Eutheria
MamRep38,Eutheria
MamRep4096,Eutheria
MamRep488,Eutheria
MamRep564,Eutheria
MamRep605,Eutheria
MamTip1,Eutheria
MamTip3,Eutheria
MARNA,Eutheria
MER102a,Eutheria
MER102b,Eutheria
MER102c,Eutheria
MER103C,Eutheria
MER104,Eutheria
MER105,Eutheria
MER106A,Eutheria
MER106B,Eutheria
MER110,Eutheria
MER110A,Eutheria
MER110-int,Eutheria
MER112,Eutheria
MER113,Eutheria
MER113A,Eutheria
MER113B,Eutheria
MER115,Eutheria
MER117,Eutheria
MER119,Eutheria
MER20,Eutheria
MER20B,Eutheria
MER21B,Eutheria
MER21C,Eutheria
MER21-int,Eutheria
MER2B,Eutheria
MER3,Eutheria
MER31-int,Eutheria
MER33,Eutheria
MER34A,Eutheria
MER34A1,Eutheria
MER45A,Eutheria
MER45B,Eutheria
MER45C,Eutheria
MER45R,Eutheria
MER46C,Eutheria
MER4B-int,Eutheria
MER52-int,Eutheria
MER53,Eutheria
MER58A,Eutheria
MER58B,Eutheria
MER58C,Eutheria
MER58D,Eutheria
MER5A,Eutheria
MER5A1,Eutheria
MER5B,Eutheria
MER5C,Eutheria
MER5C1,Eutheria
MER63A,Eutheria
MER63B,Eutheria
MER63C,Eutheria
MER63D,Eutheria
MER68,Eutheria
MER68B,Eutheria
MER68C,Eutheria
MER68-int,Eutheria
MER70-int,Eutheria
MER76,Eutheria
MER76-int,Eutheria
MER77,Eutheria
MER77B,Eutheria
MER81,Eutheria
MER83A-int,Eutheria
MER83B-int,Eutheria
MER88,Eutheria
MER89,Eutheria
MER89-int,Eutheria
MER90,Eutheria
MER90a,Eutheria
MER91A,Eutheria
MER91B,Eutheria
MER91C,Eutheria
MER92A,Eutheria
MER92B,Eutheria
MER92C,Eutheria
MER92D,Eutheria
MER92-int,Eutheria
MER94,Eutheria
MER94B,Eutheria
MER96,Eutheria
MER96B,Eutheria
MER97a,Eutheria
MER97b,Eutheria
MER97c,Eutheria
MER97d,Eutheria
MER99,Eutheria
MERX,Eutheria
MLT1B,Eutheria
MLT1B-int,Eutheria
MLT1C,Eutheria
MLT1C-int,Eutheria
MLT1D,Eutheria
MLT1D-int,Eutheria
MLT1E,Eutheria
MLT1E1,Eutheria
MLT1E1A,Eutheria
MLT1E1A-int,Eutheria
MLT1E1-int,Eutheria
MLT1E2,Eutheria
MLT1E2-int,Eutheria
MLT1E3,Eutheria
MLT1E3-int,Eutheria
MLT1E-int,Eutheria
MLT1F,Eutheria
MLT1F1,Eutheria
MLT1F1-int,Eutheria
MLT1F2,Eutheria
MLT1F2-int,Eutheria
MLT1F-int,Eutheria
MLT1G,Eutheria
MLT1G1,Eutheria
MLT1G1-int,Eutheria
MLT1G3,Eutheria
MLT1G3-int,Eutheria
MLT1G-int,Eutheria
MLT1H,Eutheria
MLT1H1,Eutheria
MLT1H1-int,Eutheria
MLT1H2,Eutheria
MLT1H2-int,Eutheria
MLT1H-int,Eutheria
MLT1I,Eutheria
MLT1I-int,Eutheria
MLT1-int,Eutheria
MLT1J,Eutheria
MLT1J1,Eutheria
MLT1J1-int,Eutheria
MLT1J2,Eutheria
MLT1J2-int,Eutheria
MLT1J-int,Eutheria
MLT1K,Eutheria
MLT1K-int,Eutheria
MLT1L,Eutheria
MLT1L-int,Eutheria
MLT1M,Eutheria
MLT1M-int,Eutheria
MLT1N2,Eutheria
MLT1N2-int,Eutheria
MLT1O,Eutheria
MLT1O-int,Eutheria
MLT2C1,Eutheria
MLT2C2,Eutheria
MLT2D,Eutheria
MLT2E,Eutheria
MLT2F,Eutheria
MLT-int,Eutheria
ORSL,Eutheria
ORSL-2a,Eutheria
ORSL-2b,Eutheria
Tigger11a,Eutheria
Tigger12,Eutheria
Tigger12A,Eutheria
Tigger12c,Eutheria
Tigger13a,Eutheria
Tigger17a,Eutheria
Tigger17b,Eutheria
Tigger18a,Eutheria
Tigger20a,Eutheria
Tigger6a,Eutheria
Tigger6b,Eutheria
Tigger8,Eutheria
Tigger9a,Eutheria
Tigger9b,Eutheria
Zaphod,Eutheria
Zaphod2,Eutheria
Zaphod3,Eutheria
Charlie12,Eutheria/03
Charlie1,Eutheria+Metatheria
Charlie18a,Eutheria+Metatheria
Charlie4,Eutheria+Metatheria
Charlie7,Eutheria+Metatheria
L2,Eutheria+Metatheria
L2c,Eutheria+Metatheria
Tigger17,Eutheria+Metatheria
MamRep137,Eutheria/Theria
L1M,Eutheria/Theria?
L2a,Eutheria/Theria?
L2b,Eutheria/Theria?
Charlie1a,Theria
Charlie1b,Theria
Charlie1b_Mars,Theria
LTR90A,Theria
LTR90B,Theria
X7A_LINE,Amniota/Theria
X7B_LINE,Amniota/Theria
X7C_LINE,Amniota/Theria
X7D_LINE,Amniota/Theria
Helitron2Na_Mam,Theria/Mammalia
L1MEj,Theria/Mammalia
L3,Theria/Mammalia
L3b,Theria/Mammalia
L5,Theria/Mammalia
MamRep434,Theria/Mammalia
MamTip2,Theria/Mammalia
MER124,Theria/Mammalia
Tigger10,Theria/Mammalia
Tigger14a,Theria/Mammalia
Tigger15a,Theria/Mammalia
Tigger16a,Theria/Mammalia
Tigger16b,Theria/Mammalia
Tigger19a,Theria/Mammalia
Charlie13a,Mammalia
Charlie13b,Mammalia
CR1_Mam,Mammalia
Mam_R4,Mammalia
MamGyp-int,Mammalia
MamRep1161,Mammalia
MamSINE1,Mammalia
MER121,Mammalia
MER135,Mammalia
MIR,Mammalia
MIR3,Mammalia
MIRb,Mammalia
MIRc,Mammalia
Plat_L3,Mammalia
X3_LINE,Mammalia
X6A_LINE,Mammalia
X6B_LINE,Mammalia
AmnSINE1,Amniota
AmnSINE2,Amniota
Eulor1,Amniota
Eulor10,Amniota
Eulor11,Amniota
Eulor12,Amniota
Eulor2A,Amniota
Eulor2B,Amniota
Eulor2C,Amniota
Eulor3,Amniota
Eulor7,Amniota
Eulor8,Amniota
Eulor9A,Amniota
Eulor9B,Amniota
Eulor9C,Amniota
MER125,Amniota
MER126,Amniota
MER127,Amniota
MER129,Amniota
MER130,Amniota
MER131,Amniota
MER132,Amniota
MER133A,Amniota
MER133B,Amniota
MER134,Amniota
MER136,Amniota
UCON12,Amniota
UCON12A,Amniota
UCON15,Amniota
UCON16,Amniota
UCON17,Amniota
UCON19,Amniota
UCON2,Amniota
UCON20,Amniota
UCON21,Amniota
UCON22,Amniota
UCON23,Amniota
UCON24,Amniota
UCON25,Amniota
UCON26,Amniota
UCON27,Amniota
UCON28a,Amniota
UCON28b,Amniota
UCON28c,Amniota
UCON29,Amniota
UCON4,Amniota
UCON5,Amniota
UCON6,Amniota
UCON9,Amniota
X1_LINE,Amniota
X8_LINE,Amniota
X9_LINE,Amniota
X2_LINE,Amniota/Euteleostemi?
Eulor4,Tetrapoda
Eulor5A,Tetrapoda
Eulor5B,Tetrapoda
Eulor6A,Tetrapoda
Eulor6B,Tetrapoda
Eulor6C,Tetrapoda
Eulor6D,Tetrapoda
Eulor6E,Tetrapoda
LFSINE_Vert,Tetrapoda
MER123,Tetrapoda
UCON1,Tetrapoda
UCON10,Tetrapoda
UCON11,Tetrapoda
UCON13,Tetrapoda
UCON14,Tetrapoda
UCON18,Tetrapoda
UCON31,Tetrapoda
UCON7,Tetrapoda
UCON8,Tetrapoda
X5A_LINE,Euteleostomi
X5B_LINE,Euteleostomi
