"foi","numOlapA_obs","numOlapA_alt","numOlapA_pval","numOlapAwithin_obs","numOlapAwithin_alt","numOlapAwithin_pval","numOlapB_obs","numOlapB_alt","numOlapB_pval","numOlapBwithin_obs","numOlapBwithin_alt","numOlapBwithin_pval","comOlap_obs","comOlap_alt","comOlap_pval","meandist_obs","meandist_alt","meandist_pval","meanLenOlapB_obs","meanLenOlapB_alt","meanLenOlapB_pval","Anum","Alen","Bnum","Blen"
"ct_hg19_foi_MER5C_desc_repSubfamily",223,"greater",0.0788921107889211,0,"greater",1,264,"greater",0.213078692130787,264,"greater",0.196280371962804,51518,"greater",0.0566943305669433,-1288207.83730554,"greater",9.99900009999e-05,195.143939393939,"greater",0.0706929307069293,13049,521960000,1338,249177
"ct_hg19_foi_MER61A_desc_repSubfamily",168,"greater",9.99900009999e-05,0,"greater",1,202,"greater",9.99900009999e-05,197,"greater",9.99900009999e-05,62370,"greater",9.99900009999e-05,-2114140.47976521,"greater",9.99900009999e-05,312.574257425743,"greater",0.12048795120488,12948,517920000,779,237165
"ct_hg19_foi_MER63A_desc_repSubfamily",662,"greater",0.0004999500049995,0,"greater",1,720,"greater",0.0002999700029997,715,"greater",0.0002999700029997,124819,"greater",9.99900009999e-05,-433081.723963522,"greater",9.99900009999e-05,173.572222222222,"less",0.482651734826517,13049,521960000,3479,603262
"ct_hg19_foi_MER63B_desc_repSubfamily",381,"greater",0.0878912108789121,0,"greater",1,473,"greater",0.0638936106389361,469,"greater",0.0744925507449255,91708,"greater",0.0356964303569643,-760061.407310905,"greater",0.0016998300169983,195.143763213531,"greater",0.229077092290771,13049,521960000,2367,449836
"ct_hg19_foi_MER63C_desc_repSubfamily",109,"greater",0.371862813718628,0,"greater",1,175,"greater",0.295470452954705,173,"greater",0.281271872812719,72575,"greater",0.24967503249675,-2512131.30201548,"greater",9.99900009999e-05,418.64,"greater",0.469253074692531,13049,521960000,891,359353
"ct_hg19_foi_MER63D_desc_repSubfamily",221,"less",0.222277772222778,0,"greater",1,304,"less",0.332666733326667,304,"less",0.37006299370063,47667,"less",0.193680631936806,-1241463.8943214,"less",0.0224977502249775,157.032894736842,"less",0.16048395160484,13049,521960000,1699,275397
"ct_hg19_foi_MER65A_desc_repSubfamily",167,"less",0.145685431456854,0,"greater",1,227,"less",0.0246975302469753,225,"less",0.0328967103289671,73310,"less",0.131686831316868,-2098941.62372596,"less",9.99900009999e-05,325.396475770925,"greater",0.0052994700529947,13049,521960000,1392,412143
"ct_hg19_foi_MER66B_desc_repSubfamily",160,"less",0.0060993900609939,0,"greater",1,182,"less",0.0014998500149985,180,"less",0.0010998900109989,64458,"less",0.0486951304869513,-1774960.58571538,"less",0.0006999300069993,357.846153846154,"greater",9.99900009999e-05,13049,521960000,1378,421750
"ct_hg19_foi_MER67C_desc_repSubfamily",249,"greater",9.99900009999e-05,0,"greater",1,384,"greater",0.0002999700029997,379,"greater",0.0006999300069993,134574,"greater",9.99900009999e-05,-2661758.98114798,"greater",9.99900009999e-05,353.546875,"greater",0.0302969703029697,13049,521960000,1613,517082
"ct_hg19_foi_MER67D_desc_repSubfamily",231,"greater",9.99900009999e-05,0,"greater",1,302,"greater",9.99900009999e-05,299,"greater",9.99900009999e-05,100555,"greater",9.99900009999e-05,-4719435.47528546,"greater",9.99900009999e-05,334.284768211921,"greater",0.150684931506849,13049,521960000,1010,322204
"ct_hg19_foi_MER68_desc_repSubfamily",184,"less",0.0576942305769423,0,"greater",1,228,"less",0.0458954104589541,227,"less",0.0706929307069293,91924,"less",0.251074892510749,-1565468.68978466,"less",9.99900009999e-05,403.223684210526,"greater",0.0112988701129887,13049,521960000,1481,548143
